Datetime,Average Funding Rate
2022-12-20 01:00:00+00:00,
2022-12-21 01:00:00+00:00,1.97e-07
2022-12-22 01:00:00+00:00,0.0
2022-12-23 01:00:00+00:00,5e-05
2022-12-24 01:00:00+00:00,0.0
2022-12-25 01:00:00+00:00,0.001707371
2022-12-26 01:00:00+00:00,0.0
2022-12-27 01:00:00+00:00,0.001149255
2022-12-28 01:00:00+00:00,0.001112132
2022-12-29 01:00:00+00:00,0.00102277
2022-12-30 01:00:00+00:00,0.0
2022-12-31 01:00:00+00:00,0.000723711
2023-01-01 01:00:00+00:00,0.0
2023-01-02 01:00:00+00:00,0.0
2023-01-03 01:00:00+00:00,0.000136003
2023-01-04 01:00:00+00:00,6.02e-06
2023-01-05 01:00:00+00:00,2.83e-05
2023-01-06 01:00:00+00:00,-8.91e-05
2023-01-07 01:00:00+00:00,0.000303382
2023-01-08 01:00:00+00:00,0.002142834
2023-01-09 01:00:00+00:00,0.004800663
2023-01-10 01:00:00+00:00,0.004093273
2023-01-11 01:00:00+00:00,0.003234007
2023-01-12 01:00:00+00:00,0.003324435
2023-01-13 01:00:00+00:00,0.002921943
2023-01-14 01:00:00+00:00,0.004099064
2023-01-15 01:00:00+00:00,0.006408101
2023-01-16 01:00:00+00:00,0.00864492
2023-01-17 01:00:00+00:00,0.010947843
2023-01-18 01:00:00+00:00,0.013759362
2023-01-19 01:00:00+00:00,0.015408397
2023-01-20 01:00:00+00:00,0.016023293
2023-01-21 01:00:00+00:00,0.016461338
2023-01-22 01:00:00+00:00,0.016092216
2023-01-23 01:00:00+00:00,0.0
2023-01-24 01:00:00+00:00,0.016266888
2023-01-25 01:00:00+00:00,0.016799187
2023-01-26 01:00:00+00:00,0.018799936
2023-01-27 01:00:00+00:00,0.020788402
2023-01-28 01:00:00+00:00,0.0
2023-01-29 01:00:00+00:00,0.025506578
2023-01-30 01:00:00+00:00,0.027359372
2023-01-31 01:00:00+00:00,0.02498818
2023-02-01 01:00:00+00:00,0.002369223
2023-02-02 01:00:00+00:00,0.002249656
2023-02-03 01:00:00+00:00,0.001075936
2023-02-04 01:00:00+00:00,0.001210671
2023-02-05 01:00:00+00:00,0.000200022
2023-02-06 01:00:00+00:00,5.65e-05
2023-02-07 01:00:00+00:00,-0.000565991
2023-02-08 01:00:00+00:00,-0.000297225
2023-02-09 01:00:00+00:00,-6.09e-05
2023-02-10 01:00:00+00:00,-0.003087532
2023-02-11 01:00:00+00:00,-0.003045139
2023-02-12 01:00:00+00:00,-0.00197782
2023-02-13 01:00:00+00:00,-0.000941424
2023-02-14 01:00:00+00:00,0.001084473
2023-02-15 01:00:00+00:00,0.000686644
2023-02-16 01:00:00+00:00,0.000702725
2023-02-17 01:00:00+00:00,0.002770268
2023-02-18 01:00:00+00:00,0.000942317
2023-02-19 01:00:00+00:00,0.002206446
2023-02-20 01:00:00+00:00,0.001907164
2023-02-21 01:00:00+00:00,0.001246484
2023-02-22 01:00:00+00:00,0.0009908
2023-02-23 01:00:00+00:00,0.001104473
2023-02-24 01:00:00+00:00,0.001055718
2023-02-25 01:00:00+00:00,0.000585765
2023-02-26 01:00:00+00:00,-0.000651025
2023-02-27 01:00:00+00:00,-0.000680419
2023-02-28 01:00:00+00:00,0.001156112
2023-03-01 01:00:00+00:00,0.001722125
2023-03-02 01:00:00+00:00,-0.002842931
2023-03-03 01:00:00+00:00,-0.007414824
2023-03-04 01:00:00+00:00,-0.001957557
2023-03-05 01:00:00+00:00,-0.000293766
2023-03-06 01:00:00+00:00,-0.00385325
2023-03-07 01:00:00+00:00,-0.002409604
2023-03-08 01:00:00+00:00,-0.001673513
2023-03-09 01:00:00+00:00,-0.000558491
2023-03-10 01:00:00+00:00,-0.000982297
2023-03-11 01:00:00+00:00,-0.002607369
2023-03-12 01:00:00+00:00,-0.003383366
2023-03-13 01:00:00+00:00,0.000963402
2023-03-14 01:00:00+00:00,0.004488109
2023-03-15 01:00:00+00:00,0.004071976
2023-03-16 01:00:00+00:00,0.000265732
2023-03-17 01:00:00+00:00,8.07e-05
2023-03-18 01:00:00+00:00,0.001416025
2023-03-19 01:00:00+00:00,0.002206326
2023-03-20 01:00:00+00:00,0.001807367
2023-03-21 01:00:00+00:00,0.003370828
2023-03-22 01:00:00+00:00,0.001935999
2023-03-23 01:00:00+00:00,0.002559664
2023-03-24 01:00:00+00:00,0.001497965
2023-03-25 01:00:00+00:00,0.000266742
2023-03-26 01:00:00+00:00,-0.000252708
2023-03-27 01:00:00+00:00,-0.001474375
2023-03-28 01:00:00+00:00,-0.001457073
2023-03-29 01:00:00+00:00,0.000532136
2023-03-30 01:00:00+00:00,-0.000150638
2023-03-31 01:00:00+00:00,-0.000391865
2023-04-01 01:00:00+00:00,0.000906217
2023-04-02 01:00:00+00:00,0.00058787
2023-04-03 01:00:00+00:00,0.000288812
2023-04-04 01:00:00+00:00,-0.000268297
2023-04-05 01:00:00+00:00,0.000658499
2023-04-06 01:00:00+00:00,0.000257062
2023-04-07 01:00:00+00:00,0.000893723
2023-04-08 01:00:00+00:00,0.001052112
2023-04-09 01:00:00+00:00,0.000916829
2023-04-10 01:00:00+00:00,0.000224714
2023-04-11 01:00:00+00:00,0.000436562
2023-04-12 01:00:00+00:00,0.000835261
2023-04-13 01:00:00+00:00,0.000114563
2023-04-14 01:00:00+00:00,0.000893031
2023-04-15 01:00:00+00:00,0.001384421
2023-04-16 01:00:00+00:00,0.000821521
2023-04-17 01:00:00+00:00,0.001488014
2023-04-18 01:00:00+00:00,0.001901776
