Datetime,Average Funding Rate
2023-02-08 01:00:00+00:00,
2023-02-09 01:00:00+00:00,0.0
2023-02-10 01:00:00+00:00,0.0
2023-02-11 01:00:00+00:00,0.000125116
2023-02-12 01:00:00+00:00,-0.000310215
2023-02-13 01:00:00+00:00,-0.001804469
2023-02-14 01:00:00+00:00,0.0
2023-02-15 01:00:00+00:00,-0.000901566
2023-02-16 01:00:00+00:00,-0.00059192
2023-02-17 01:00:00+00:00,-0.000446695
2023-02-18 01:00:00+00:00,-0.000272093
2023-02-19 01:00:00+00:00,0.000577697
2023-02-20 01:00:00+00:00,0.000590162
2023-02-21 01:00:00+00:00,0.000601904
2023-02-22 01:00:00+00:00,0.000646651
2023-02-23 01:00:00+00:00,0.000892338
2023-02-24 01:00:00+00:00,0.001496288
2023-02-25 01:00:00+00:00,0.001411938
2023-02-26 01:00:00+00:00,0.000711637
2023-02-27 01:00:00+00:00,0.000286966
2023-02-28 01:00:00+00:00,0.0
2023-03-01 01:00:00+00:00,0.000751793
2023-03-02 01:00:00+00:00,-0.004621749
2023-03-03 01:00:00+00:00,-0.009957608
2023-03-04 01:00:00+00:00,-0.005340729
2023-03-05 01:00:00+00:00,-0.000864985
2023-03-06 01:00:00+00:00,-0.003944482
2023-03-07 01:00:00+00:00,-0.002574214
2023-03-08 01:00:00+00:00,-0.00132744
2023-03-09 01:00:00+00:00,-0.000961604
2023-03-10 01:00:00+00:00,-0.001418133
2023-03-11 01:00:00+00:00,-0.002753088
2023-03-12 01:00:00+00:00,-0.005048549
2023-03-13 01:00:00+00:00,-0.000897244
2023-03-14 01:00:00+00:00,0.004942191
2023-03-15 01:00:00+00:00,0.004080959
2023-03-16 01:00:00+00:00,-2.24e-05
2023-03-17 01:00:00+00:00,-0.000725521
2023-03-18 01:00:00+00:00,0.001144013
2023-03-19 01:00:00+00:00,0.001458522
2023-03-20 01:00:00+00:00,0.003050012
2023-03-21 01:00:00+00:00,0.002993689
2023-03-22 01:00:00+00:00,0.001676804
2023-03-23 01:00:00+00:00,0.002862606
2023-03-24 01:00:00+00:00,0.002414062
2023-03-25 01:00:00+00:00,0.000535643
2023-03-26 01:00:00+00:00,0.000213587
2023-03-27 01:00:00+00:00,-0.00095082
2023-03-28 01:00:00+00:00,-0.001164712
2023-03-29 01:00:00+00:00,-0.000141319
2023-03-30 01:00:00+00:00,-0.000813789
2023-03-31 01:00:00+00:00,-0.0005966
2023-04-01 01:00:00+00:00,0.000727938
2023-04-02 01:00:00+00:00,0.000421314
2023-04-03 01:00:00+00:00,0.000167708
2023-04-04 01:00:00+00:00,-0.000594452
2023-04-05 01:00:00+00:00,-0.000271552
2023-04-06 01:00:00+00:00,0.000514068
2023-04-07 01:00:00+00:00,0.000707397
2023-04-08 01:00:00+00:00,0.000820502
2023-04-09 01:00:00+00:00,0.000380005
2023-04-10 01:00:00+00:00,-0.000134798
2023-04-11 01:00:00+00:00,0.000407564
2023-04-12 01:00:00+00:00,0.000912855
2023-04-13 01:00:00+00:00,-0.000129481
2023-04-14 01:00:00+00:00,-0.000935211
2023-04-15 01:00:00+00:00,0.000635494
2023-04-16 01:00:00+00:00,0.000871283
2023-04-17 01:00:00+00:00,0.001083068
2023-04-18 01:00:00+00:00,0.000990798
2023-04-19 01:00:00+00:00,0.000981337
2023-04-20 01:00:00+00:00,0.000377738
2023-04-21 01:00:00+00:00,-0.00036944
2023-04-22 01:00:00+00:00,-0.001299371
2023-04-23 01:00:00+00:00,-0.000805072
2023-04-24 01:00:00+00:00,-0.000681694
2023-04-25 01:00:00+00:00,-0.000574431
2023-04-26 01:00:00+00:00,-0.000700174
2023-04-27 01:00:00+00:00,-0.000178113
2023-04-28 01:00:00+00:00,7.95e-05
2023-04-29 01:00:00+00:00,0.000417433
2023-04-30 01:00:00+00:00,-6.76e-05
2023-05-01 01:00:00+00:00,0.000578197
2023-05-02 01:00:00+00:00,0.000614325
2023-05-03 01:00:00+00:00,-0.000490121
2023-05-04 01:00:00+00:00,0.000766719
2023-05-05 01:00:00+00:00,0.000561619
2023-05-06 01:00:00+00:00,0.000595237
2023-05-07 01:00:00+00:00,0.000964633
2023-05-08 01:00:00+00:00,8.28e-05
2023-05-09 01:00:00+00:00,-0.000305866
2023-05-10 01:00:00+00:00,-0.000730512
2023-05-11 01:00:00+00:00,3.2e-05
2023-05-12 01:00:00+00:00,0.000773327
2023-05-13 01:00:00+00:00,-0.000503769
2023-05-14 01:00:00+00:00,-0.000914782
2023-05-15 01:00:00+00:00,-0.000785253
2023-05-16 01:00:00+00:00,-0.000856943
2023-05-17 01:00:00+00:00,-0.000543727
2023-05-18 01:00:00+00:00,-0.000409576
2023-05-19 01:00:00+00:00,-8.74e-05
2023-05-20 01:00:00+00:00,-0.000280682
2023-05-21 01:00:00+00:00,-8.02e-05
2023-05-22 01:00:00+00:00,3.72e-05
2023-05-23 01:00:00+00:00,0.000152657
2023-05-24 01:00:00+00:00,0.000313063
2023-05-25 01:00:00+00:00,0.000751562
2023-05-26 01:00:00+00:00,0.000497828
2023-05-27 01:00:00+00:00,0.000354908
2023-05-28 01:00:00+00:00,-0.000242835
2023-05-29 01:00:00+00:00,-0.000204383
2023-05-30 01:00:00+00:00,7.12e-05
2023-05-31 01:00:00+00:00,-0.000126977
2023-06-01 01:00:00+00:00,1.27e-05
2023-06-02 01:00:00+00:00,0.000233821
2023-06-03 01:00:00+00:00,0.000822686
2023-06-04 01:00:00+00:00,0.000548563
2023-06-05 01:00:00+00:00,0.0
2023-06-06 01:00:00+00:00,-0.00035234
2023-06-07 01:00:00+00:00,0.0
2023-06-08 01:00:00+00:00,0.000714338
2023-06-09 01:00:00+00:00,0.000647289
2023-06-10 01:00:00+00:00,0.000576242
2023-06-11 01:00:00+00:00,0.000175505
2023-06-12 01:00:00+00:00,2.54e-05
2023-06-13 01:00:00+00:00,0.00012596
2023-06-14 01:00:00+00:00,-0.000215031
2023-06-15 01:00:00+00:00,-0.000847283
2023-06-16 01:00:00+00:00,0.000179704
2023-06-17 01:00:00+00:00,0.001186844
2023-06-18 01:00:00+00:00,0.000665584
2023-06-19 01:00:00+00:00,0.000665656
2023-06-20 01:00:00+00:00,0.000534288
2023-06-21 01:00:00+00:00,0.00087904
2023-06-22 01:00:00+00:00,0.001314123
2023-06-23 01:00:00+00:00,0.000153421
2023-06-24 01:00:00+00:00,0.000560469
2023-06-25 01:00:00+00:00,0.0009003
2023-06-26 01:00:00+00:00,0.000996682
2023-06-27 01:00:00+00:00,0.000774224
2023-06-28 01:00:00+00:00,0.00062522
2023-06-29 01:00:00+00:00,0.000835404
2023-06-30 01:00:00+00:00,0.001633124
2023-07-01 01:00:00+00:00,4.62e-05
2023-07-02 01:00:00+00:00,1.48e-05
2023-07-03 01:00:00+00:00,-0.000133081
2023-07-04 01:00:00+00:00,0.000669275
2023-07-05 01:00:00+00:00,0.000638139
2023-07-06 01:00:00+00:00,0.000977447
2023-07-07 01:00:00+00:00,0.000134023
2023-07-08 01:00:00+00:00,0.000247062
2023-07-09 01:00:00+00:00,0.000425552
2023-07-10 01:00:00+00:00,0.000283299
2023-07-11 01:00:00+00:00,0.000330056
2023-07-12 01:00:00+00:00,0.000745186
2023-07-13 01:00:00+00:00,0.000412663
2023-07-14 01:00:00+00:00,0.001783547
2023-07-15 01:00:00+00:00,0.000410961
2023-07-16 01:00:00+00:00,0.000350349
2023-07-17 01:00:00+00:00,0.000436429
2023-07-18 01:00:00+00:00,-0.000237298
2023-07-19 01:00:00+00:00,-0.000133146
2023-07-20 01:00:00+00:00,0.000402252
2023-07-21 01:00:00+00:00,0.001083337
2023-07-22 01:00:00+00:00,0.000696644
2023-07-23 01:00:00+00:00,-0.000211926
2023-07-24 01:00:00+00:00,0.000333799
2023-07-25 01:00:00+00:00,0.000177381
2023-07-26 01:00:00+00:00,0.000239691
2023-07-27 01:00:00+00:00,0.000329274
2023-07-28 01:00:00+00:00,-0.000411631
2023-07-29 01:00:00+00:00,-0.000266001
2023-07-30 01:00:00+00:00,8.51e-05
2023-07-31 01:00:00+00:00,-0.000502756
2023-08-01 01:00:00+00:00,-7.49e-05
2023-08-02 01:00:00+00:00,0.000183003
2023-08-03 01:00:00+00:00,0.000698519
2023-08-04 01:00:00+00:00,0.000881561
2023-08-05 01:00:00+00:00,-2.55e-05
2023-08-06 01:00:00+00:00,0.000357699
2023-08-07 01:00:00+00:00,7.99e-05
2023-08-08 01:00:00+00:00,0.000558371
2023-08-09 01:00:00+00:00,0.00010504
2023-08-10 01:00:00+00:00,-0.000293825
2023-08-11 01:00:00+00:00,0.000766279
2023-08-12 01:00:00+00:00,5.86e-05
2023-08-13 01:00:00+00:00,0.000309421
2023-08-14 01:00:00+00:00,0.000583198
2023-08-15 01:00:00+00:00,0.000808834
2023-08-16 01:00:00+00:00,0.000216429
2023-08-17 01:00:00+00:00,0.000229439
2023-08-18 01:00:00+00:00,0.000432715
2023-08-19 01:00:00+00:00,-0.000526291
2023-08-20 01:00:00+00:00,6.96e-05
2023-08-21 01:00:00+00:00,5.47e-05
2023-08-22 01:00:00+00:00,-0.000546589
2023-08-23 01:00:00+00:00,-0.0003002
2023-08-24 01:00:00+00:00,-2.31e-06
2023-08-25 01:00:00+00:00,0.000215656
2023-08-26 01:00:00+00:00,-0.000299255
2023-08-27 01:00:00+00:00,-0.000521365
2023-08-28 01:00:00+00:00,0.000129938
2023-08-29 01:00:00+00:00,-0.000314105
2023-08-30 01:00:00+00:00,0.000101661
2023-08-31 01:00:00+00:00,0.000249564
2023-09-01 01:00:00+00:00,-0.000347937
2023-09-02 01:00:00+00:00,-0.000221108
2023-09-03 01:00:00+00:00,-0.000359502
2023-09-04 01:00:00+00:00,-0.000559989
2023-09-05 01:00:00+00:00,-0.000710422
2023-09-06 01:00:00+00:00,7.09e-05
2023-09-07 01:00:00+00:00,0.0
2023-09-08 01:00:00+00:00,-0.000138518
2023-09-09 01:00:00+00:00,0.000418877
2023-09-10 01:00:00+00:00,-0.000147097
