Time,Funding Rate
09/27/2023 01:00:00 AM,0.000301826
09/26/2023 05:00:00 PM,0.000452556
09/26/2023 09:00:00 AM,0.0
09/26/2023 01:00:00 AM,0.000470763
09/25/2023 05:00:00 PM,0.000195721
09/25/2023 09:00:00 AM,0.000219777
09/25/2023 01:00:00 AM,9.08e-05
09/24/2023 05:00:00 PM,2.38e-05
09/24/2023 09:00:00 AM,5.15e-05
09/24/2023 01:00:00 AM,0.000217892
09/23/2023 05:00:00 PM,7.25e-05
09/23/2023 09:00:00 AM,0.0
09/23/2023 01:00:00 AM,0.0
09/22/2023 05:00:00 PM,0.000795965
09/22/2023 09:00:00 AM,0.000869077
09/22/2023 01:00:00 AM,0.00024215
09/21/2023 05:00:00 PM,-7.52e-05
09/21/2023 09:00:00 AM,9.88e-05
09/21/2023 01:00:00 AM,-7.87e-05
09/20/2023 05:00:00 PM,-7.97e-05
09/20/2023 09:00:00 AM,-0.000337733
09/20/2023 01:00:00 AM,-0.000372346
09/19/2023 05:00:00 PM,0.000102737
09/19/2023 09:00:00 AM,0.000267041
09/19/2023 01:00:00 AM,-0.00011341
09/18/2023 05:00:00 PM,-0.000442037
09/18/2023 09:00:00 AM,-0.000448301
09/18/2023 01:00:00 AM,-0.000380965
09/17/2023 05:00:00 PM,8.09e-05
09/17/2023 09:00:00 AM,0.0002052
09/17/2023 01:00:00 AM,0.000137847
09/16/2023 05:00:00 PM,-0.000430146
09/16/2023 09:00:00 AM,-0.00032229
09/16/2023 01:00:00 AM,-0.000151076
09/15/2023 05:00:00 PM,0.000462645
09/15/2023 09:00:00 AM,0.000457427
09/15/2023 01:00:00 AM,-3.41e-05
09/14/2023 05:00:00 PM,0.000304796
09/14/2023 09:00:00 AM,0.000498196
09/14/2023 01:00:00 AM,0.000439362
09/13/2023 05:00:00 PM,0.000277667
09/13/2023 09:00:00 AM,2.58e-06
09/13/2023 01:00:00 AM,-8.73e-05
09/12/2023 05:00:00 PM,0.000234929
09/12/2023 09:00:00 AM,0.000149351
09/12/2023 01:00:00 AM,0.000350565
09/11/2023 05:00:00 PM,3.93e-05
09/11/2023 09:00:00 AM,-6.98e-05
09/11/2023 01:00:00 AM,-0.000344931
09/10/2023 05:00:00 PM,-0.000375804
09/10/2023 09:00:00 AM,0.0
09/10/2023 01:00:00 AM,-0.000147097
09/09/2023 05:00:00 PM,0.000156513
09/09/2023 09:00:00 AM,0.000441952
09/09/2023 01:00:00 AM,0.000418877
09/08/2023 05:00:00 PM,0.000150063
09/08/2023 09:00:00 AM,-0.000201701
09/08/2023 01:00:00 AM,-0.000138518
09/07/2023 05:00:00 PM,0.000369663
09/07/2023 09:00:00 AM,0.000450491
09/07/2023 01:00:00 AM,0.0
09/06/2023 05:00:00 PM,4.8e-05
09/06/2023 09:00:00 AM,4.34e-05
09/06/2023 01:00:00 AM,7.09e-05
09/05/2023 05:00:00 PM,-0.000106111
09/05/2023 09:00:00 AM,-0.000538378
09/05/2023 01:00:00 AM,-0.000710422
09/04/2023 05:00:00 PM,-0.000796788
09/04/2023 09:00:00 AM,-0.000950581
09/04/2023 01:00:00 AM,-0.000559989
09/03/2023 05:00:00 PM,-0.000308957
09/03/2023 09:00:00 AM,-0.000329714
09/03/2023 01:00:00 AM,-0.000359502
09/02/2023 05:00:00 PM,-0.000349739
09/02/2023 09:00:00 AM,-0.000279323
